SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation_dem;nomeTemp;idSensoreTemp;nomePrec;idSensorePrec;distanzakm_sensoreTemp_sensorePrec
173;NA;Rotondi;970034.6922849787;4556174.143446839;543.9010009765625;NA;NA;Rotondi;18893;NA
174;NA;S.agata dei goti;961987.0544803833;4562848.794700274;163.5591583251953;NA;NA;S.agata dei goti;18899;NA
175;NA;S.agata dei goti isclero;958905.7302001454;4564513.137729411;85.70536041259766;NA;NA;S.agata dei goti isclero;36920;NA
176;NA;S.ambrogio;907024.3981856045;4595201.059234448;24.869293212890625;NA;NA;S.ambrogio;20885;NA
177;NA;S.angelo theodice;903907.5593491402;4599266.080332915;37.76887512207031;NA;NA;S.angelo theodice;20922;NA
178;NA;S.castrese;905059.3836329228;4581163.823676247;11.095171928405762;NA;NA;S.castrese;21520;NA
179;NA;S.felice a cancello;960859.9261181839;4553205.302270512;368.3760681152344;NA;NA;S.felice a cancello;18770;NA
180;NA;S.martino valle caudina;977522.4969798904;4553993.967984666;833.90625;NA;NA;S.martino valle caudina;18905;NA
181;NA;S.marzano sarno;970369.0183365241;4529271.62407941;14.853178977966309;NA;NA;S.marzano sarno;36887;NA
182;NA;Sala consilina tanagro;1057914.9764557225;4491950.137357337;447.86309814453125;NA;NA;Sala consilina tanagro;37378;NA
183;NA;Salerno genio civile;986169.9577851277;4518952.946260929;114.75090789794922;NA;NA;Salerno genio civile;18957;NA
184;NA;Salerno giovi;993054.5295000002;4519036.204902276;215.98577880859375;NA;NA;Salerno giovi;18951;NA
185;NA;Sapri timpone;1067435.6846021647;4457247.711668168;157.37696838378906;NA;NA;Sapri timpone;51679;NA
186;NA;Sarno;971828.8813281532;4535530.377388783;98.7336654663086;NA;NA;Sarno;38445;NA
187;NA;Scala - pontone;973957.9867945721;4514040.658259293;249.2653045654297;NA;NA;Scala - pontone;45079;NA
188;NA;Scala-s.caterina;973774.8970635254;4516166.749529729;499.5444030761719;NA;NA;Scala-s.caterina;51663;NA
189;NA;Sicignano;1032524.2771859954;4513921.521745023;200.766845703125;NA;NA;Sicignano;36891;NA
190;NA;Silla sassano;1059249.2916119024;4488387.392168627;492.839599609375;NA;NA;Silla sassano;51683;NA
191;NA;Solofra;993850.4038797044;4535703.26368032;489.4175109863281;NA;NA;Solofra;18933;NA
192;NA;Sorrento;955279.2703261357;4511600.782455306;59.69315719604492;NA;NA;Sorrento;21739;NA
193;NA;Torre del greco;954016.0671100847;4529858.137016748;131.2774658203125;NA;NA;Torre del greco;18929;NA
194;NA;Tramonti chiunzi;974790.5540735258;4522769.253527386;596.63922119140625;NA;NA;Tramonti chiunzi;51655;NA
195;NA;Vietri;1051655.9398143678;4514264.241466547;597.28509521484375;NA;NA;Vietri;12307;NA
196;NA;Albori;982911.832912236;4517903.084197669;269.5763854980469;NA;NA;Albori;51647;NA
197;NA;Dragonea;982338.6739324436;4518733.399617792;250.1697235107422;NA;NA;Dragonea;51638;NA
198;NA;Visciano;970444.5741410742;4545759.0385060245;405.7795104980469;NA;NA;Visciano;18903;NA
199;NA;Pimonte;965271.6420977012;4517083.999118958;488.61865234375;NA;NA;Pimonte;18935;NA
200;NA;Sarno 2;973462.1894556747;4535015.504409526;211.43223571777344;NA;NA;Sarno 2;15276;NA
