Stazione;gradi_lat;primi_lat;secondi_lat;gradi_lon;primi_lon;secondi_lon;quota;lon;lat
MONTE DI MEZZO                                         ;41;45;6;14;14;11;985;14.23549030310987;41.75068732722989
MONTE S. GIACOMO                                       ;40;21;6;15;32;10.9;938;15.535535085004545;40.35067518163073
MONTECALVO IRPINO / MONTECALVO IRPINO (Malvizza)       ;41;11;41.5;15;2;0.2;584;15.032530878425487;41.19387406202538
 MONTECASSINO                                              ;41;29;32.1;13;48;55.1;504;13.814415336774152;41.491261795472866
MONTECIVITA FARNESE                                       ;41;19;6.1;13;31;10.9;359;13.51880484111309;41.31735582653666
MONTECORVINO ROVELLA (Azienda Torre Lama)                 ;40;37;6.6;14;55;53.2;45;14.930590429754183;40.617487719198245
MONTECORVINO ROVELLA (Bellizzi)                           ;40;37;7.4;14;56;38.2;49;14.94309812635286;40.6177287866651
MONTEFALCIONE                                             ;40;58;6.1;14;53;11;556;14.885515874738047;40.967359629755464
MONTEFALCONE VAL FORTORE                                  ;41;19;31;15;0;39.6;813;15.0101433809088;41.32430160791583
MONTELLA                                                  ;40;51;5;15;2;47.9;501;15.045791806800397;40.85040743711277
MONTELLA (P.te S. Francesco)                              ;40;50;55.8;15;3;4;501;15.050262410213296;40.84783818065117
MONTEMAGGIORE II SALTO                                    ;41;24;6;13;52;11;25;13.868818920638164;41.400683445544715
MONTEMARANO                                               ;40;55;7;14;59;50;825;14.996364728810299;40.91761876040479
MONTEMARANO (V. Strada)                                   ;40;54;54.8;15;0;16.1;874;15.003620488600655;40.91423163999256
MONTERODUNI                                               ;41;31;25;14;10;31;438;14.174382816788148;41.52263804861356
MONTESANO (Terme)                                         ;40;16;58;15;41;33.9;639;15.691926835294472;40.28178132869099
MONTESARCHIO (Monaco)                                     ;41;4;10.1;14;37;50.9;299;14.62994642942402;41.06847014583814
MONTEVERGINE                                              ;40;56;14.1;14;43;46.9;1258;14.728840092178183;40.936244404297454
MORCONE                                                   ;41;20;35.9;14;40;19.6;457;14.671237504719238;41.34231618558847
MORIGERATI                                                ;40;8;33;15;33;19.8;292;15.554679296315523;40.141506692453895
MURO LUCANO                                               ;40;45;49;15;28;53.9;588;15.480808986768361;40.762627341536565
NAPOLI (Castel dell'Ovo)                                  ;40;49;40.9;14;14;58.8;0;14.248806848870373;40.827044323749305
NAPOLI (Marinella Fognature)                              ;40;53;14.1;14;13;50.8;160;14.22990588195423;40.88623918595533
NAPOLI (Ponticelli)                                       ;40;51;31.5;14;20;13.4;30;14.33618751807944;40.8577581007951
NAPOLI (S. Rocco di Capodimonte)                          ;40;52;40.9;14;14;8.9;183;14.234926122309805;40.87702113900655
